index,reviewid,artist,title,score,author
456,6975,saint etienne,travel edition 1990 2004,9.0,scott plagenhoef
459,19222,grace jones,nightclubbing,9.0,andy beta
464,9158,this heat,out of cold storage,9.0,jess harvell
467,22707,ray charles,swiss radio days vol 41 zurich 1961,9.0,seth colter-walls
472,2106,various artists,ohm the early gurus of electronic music 1948 1980,9.0,dominique leone
485,22661,kleenex liliput,first songs,9.0,jenn pelly
490,6041,jim orourke,im happy and im singing and a 1 2 3 4,9.0,matt lemay
504,4791,liliput,complete recordings,9.0,sam eccleston
510,17942,the breeders,lsxx,9.0,lindsay zoladz
513,16115,this mortal coil,hdcd box set,9.0,ned raggett
515,3832,matthew herbert,secondhand sounds,9.0,mark richard-san
522,2783,enduser,15 tracks,9.0,mark martelli
524,1990,various artists,miami sound rare funk and soul from miami florida 1967 1974,9.0,andrew bryant
526,429,art bears,art box,9.0,dominique leone
529,284,area,revolution,9.0,dominique leone
532,13019,company flow,funcrusher plus,9.0,nate patrin
538,1169,alan braxe,the upper cuts,8.9,mark pytlik
545,4122,iran,the moon boys,8.9,brandon stosuy
547,4274,jóhann jóhannsson,englabrn,8.9,andy beta
552,967,peter brtzmann,more nipples,8.9,scott hreha
565,22310,julius eastman,femenine,8.9,seth colter walls
569,8430,caetano veloso,antologia 69 03,8.9,liam singer
574,20,acid mothers temple,the new geocentric world of,8.9,luke buckman
588,663,tim berne herb robertson copenhagen art ensemble marc ducret,open coma,8.9,chris dahlen
590,1475,circle,andexelt,8.9,paul cooper
591,12742,bob wills and his texas playboys,the tiffany transcriptions,8.9,stephen m. deusner
594,8508,ricardo villalobos,achso,8.9,jess harvell
615,15175,scritti politti,absolute,8.8,tom ewing
628,7143,sightings,michigan haters,8.8,andrew bryant
634,1088,birdtree,orchards and caravans,8.8,brandon stosuy
648,12371,dj  rupture,uproot,8.8,mark pytlik
652,12315,various artists,awake my soul the original soundtrack   help me to sing songs of the sacred harp,8.8,stephen m. deusner
672,6905,remarc,sound murderer,8.8,scott plagenhoef
677,6304,pinetop seven,lest we forget,8.8,joe tangari
678,19923,captain beefheart,sun zoom spark 1970 to 1972,8.8,andy beta
683,4763,liars,we no longer knew who we were ep and fins to make us more fish like,8.8,eric carr
713,20203,scharpling and wurster,the best of the best show,8.8,nate patrin
725,2569,death comet crew,this is riphop,8.8,jonathan zwickel
739,18390,robbie basho,visions of the country,8.7,grayson haver currin
754,2037,various artists,amplify 2002,8.7,dominique leone
756,753,black dog and black sifichi,unsavoury products,8.7,paul cooper
765,18886,cybotron,enter,8.7,miles raymer
771,12547,dj shadow,the 4 track era bundle,8.7,nate patrin
772,12523,a guy called gerald,black secret technology,8.7,tim finney
774,12635,tp orchestre poly rythmo,the vodoun effect,8.7,joe tangari
775,3383,galerie stratique,nothing down to earth,8.7,paul cooper
779,5292,mimeo john tilbury,the hands of caravaggio,8.7,matt wellins
800,9536,tom moulton,a tom moulton mix,8.7,alex linhardt
815,3261,felt,stains on a decade,8.7,scott plagenhoef
818,1339,cassetteboy,the parker tapes,8.7,chris dahlen
826,6611,quasimoto,astronaut,8.7,sam chennault
828,921,tyondai braxton,history that has no effect,8.7,joe tangari
840,17434,bikini kill,bikini kill,8.7,lindsay zoladz
849,4747,les savy fav,rome,8.7,matt lemay
875,11263,rhys chatham and his guitar trio all stars,guitar trio is my life,8.7,grayson currin
890,10688,ricardo villalobos,fabric 36,8.7,jess harvell
896,18864,max richter,memoryhouse,8.7,grayson haver currin
900,910,glenn branca,lesson no 1,8.7,liam singer
912,9653,john fahey,sea changes and coelacanths a young persons guide to john fahey,8.6,marc masters
919,180,and you will know us by the trail of dead,relative ways,8.6,kevin adickes
924,19483,mike cooper,trout steel,8.6,jayson greene
925,11418,kid creole,going places the august darnell years 1976 1983,8.6,andy battaglia
931,7956,teenage fanclub,four thousand seven hundred and sixty six seconds a shortcut to teenage fanclub,8.6,alex linhardt
946,11315,melchior productions,no disco future,8.6,philip sherburne
950,11027,various artists,black mirror reflections in global music,8.6,mike mcgonigal
961,14221,various artists,honest strings a tribute to the life and work of jack rose,8.6,grayson currin
962,11280,fuck buttons,street horrrsing,8.6,marc masters
963,8924,john zorn,songs from the hermetic theatre,8.6,brent s. sirota
966,22527,philip glass,the complete sony recordings,8.6,seth colter walls
975,19772,fela kuti,vinyl box set 3,8.6,aaron leitko
1003,549,various artists,golden apples of the sun,8.6,brandon stosuy
1009,466,ada,blondie,8.6,sam ubl
1011,12503,the very best,esau mwamwaya and radioclit are the very best,8.6,scott plagenhoef
1012,20488,jim orourke,simple songs,8.6,mark richardson
1019,1734,charalambides,joy shapes,8.6,dominique leone
1036,2440,bob drake,the skull mailbox and other horrors,8.6,dominique leone
1039,583,pierre bastien,mecanoid,8.6,david m. pecoraro
1050,13273,pp bradock,confiote de bits a remix collection,8.6,philip sherburne
1053,19153,bikini kill,yeah yeah yeah yeah,8.6,jenn pelly
1057,3647,gang gang dance,gang gang dance,8.6,andrew bryant
1060,10553,the chills,heavenly pop hits the best of the chills,8.6,joshua klein
1082,3465,glifted,under and in,8.6,isaiah violante
1092,5077,manitoba,up in flames,8.6,mark richardson
1094,190,animal collective,here comes the indian,8.6,andy beta
1114,5149,ekkehard ehlers stephan mathieu,heroin,8.6,mark richardson
1115,524,badgerlore,of things too sorrowful to be reminded of and things too beautiful to possess,8.6,brandon stosuy
1123,568,syd barrett,wouldnt you miss me the best of,8.5,kevin adickes
1124,8439,venetian snares,a giant alien force more violent and sick than anything you can imagine,8.5,mark martelli
1127,3374,gaji,ten to ten past ten,8.5,dominique leone
1132,18793,nick drake,tuck box,8.5,jayson greene
1136,10356,robert forster grant mclennan,intermission the best of the solo recordings 1990 1997,8.5,joshua klein
1142,21097,joanna newsom,divers,8.5,laura snapes
1146,13538,various artists,tumbl biguine afro and latin sounds from the french caribbean 1963 1974,8.5,joe tangari
1153,15264,the weeknd,house of balloons,8.5,joe colly
1156,4339,junior boys,birthday,8.5,scott plagenhoef
1159,12181,luciano,fabric 41,8.5,andy battaglia
1167,103,alejandra and aeron,bousha blue blazes,8.5,dominique leone
1179,12033,ragga twins,ragga twins step out,8.5,nate patrin
1199,12239,teenage jesus and beirut slump,shut up and bleed,8.5,marc masters
1202,5911,naked city,the complete studio recordings,8.5,chris dahlen
1218,8771,the wind up bird,whips,8.5,rob mitchum
1220,7460,starflyer 59,fell in love at 22,8.5,ryan schreiber
1224,7639,akio suzuki,odds and ends,8.5,andy beta
1231,4178,yesterdays new quintet,stevie,8.5,rollie pemberton
1233,3290,jason forrest,the unrelenting songs of the 1979 post disco crash,8.5,scott plagenhoef
1239,4970,jens lekman,oh youre so silent jens,8.5,amy phillips
1242,2442,bob drake,the shunned country,8.5,dominique leone
1244,8569,stewart walker,stabiles,8.5,paul cooper
1248,2652,earlimart,everyone down here,8.5,michael idov
1261,21704,trd grs och stenar,djungelns lag,8.5,marc masters
1270,10229,lil wayne,da drought 3,8.5,ryan dombal
1273,6966,safety scissors,tainted lunch,8.5,nitsuh abebe
1284,3598,guided by voices,hardcore ufos revelations epiphanies and fast food in the western hemisphere,8.5,matt lemay
1289,16248,hood,recollected,8.5,ned raggett
1292,10130,mike tamburo and the universal orchestra of pituitary knowledge,ghosts of marumbey,8.5,grayson currin
1296,2604,dj target riko,aim high vol 2,8.5,jess harvell
1312,3283,anton fier,dreamspeed blind light,8.5,alex linhardt
1316,5069,jeff mangum,orange twin field works vol 1,8.5,david m. pecoraro
1330,20086,viet cong,viet cong,8.5,ian cohen
1335,3032,fennesz,live in japan,8.5,mark richardson
1336,8945,thalia zedek,been here and gone,8.5,andi rowlands
1363,22050,gloss,trans day of revenge,8.5,brad nelson
1367,5617,diplo mia,piracy funds terrorism vol 1,8.5,nick sylvester
1372,1223,john cale,sun blindness music,8.5,luke buckman
1390,8862,ami yoshida,tiger thrush,8.5,dominique leone
1395,966,peter brtzmann william parker hamid drake,peter brotzmann,8.5,alexander lloyd linhardt
1396,667,the beta band,to you alone,8.5,brent dicrescenzo
1407,6098,oakley hall,oakley hall,8.5,johnny loftus
1410,19984,brian eno jon hassell,fourth world vol 1 possible musics,8.5,aaron leitko
1414,22055,bruce springsteen,the christic shows november 16 and 17 1990,8.5,sam sodomsky
1416,21904,slum village,the fan tas tic box set,8.5,kris ex
1424,20947,harmonia,complete works,8.5,mark richardson
1435,12003,the pogues,just look them straight in the eye and saypoguemahone,8.5,stephen m. deusner
1437,8836,yume bitsu,the golden vessyl of sound,8.5,mark richardson
1446,19402,dj sprinkles,midtown 120 blues,8.5,andrew gaerig
1455,9581,the exploding hearts,shattered,8.5,matt lemay
1462,20068,half japanese,music to strip by,8.4,marc masters
1464,20723,kronos quartet,one earth one people one love kronos plays terry riley,8.4,seth colter walls
1478,1635,the court and spark,bless you,8.4,christopher f. schiel
1482,8772,world standard,the isle,8.4,andy beta
1486,1240,califone,deceleration one,8.4,joe tangari
1489,20810,future,dirty sprite 2,8.4,meaghan garvey
1493,15696,jrgen mller,science of the sea,8.4,nick neyland
1505,19,acid mothers temple,univers zen ou de zro zro,8.4,dominique leone
1510,865,boredoms,rebore vol 0 vision recreation,8.4,dominique leone
1527,1082,black forest black sea,forcefields and constellations,8.4,brandon stosuy
1529,1994,various artists,nicky sianos the gallery,8.4,mark pytlik
1530,18449,the dead c,armed courage,8.4,grayson currin
1531,18845,luciano cilio,delluniverso assente,8.4,andy beta
1533,3884,his name is alive,detrola,8.4,nitsuh abebe
1534,3664,morgan geist,unclassics,8.4,mark pytlik
1535,3243,fugazi,fugazi live series vol 1 september 3rd 1987,8.4,cameron macdonald
1543,1843,various artists,all tomorrows parties v11,8.4,kevin adickes
1585,2567,dill,wyhiwyg,8.4,dominique leone
1596,2358,dj food,solid steel presents now listen,8.4,david m. pecoraro
1597,801,the blithe sons,we walk the young earth,8.4,brandon stosuy
1605,3668,a gun called tension,a gun called tension,8.4,stephen m. deusner
1618,19694,kenny dope,wild style breakbeats,8.4,nate patrin
1625,3909,holopaw,quit  or fight,8.4,amanda petrusich
1641,12567,jd twitch,mx6 twitchs 60 minutes of fear,8.4,philip sherburne
1642,7337,songs ohia,mi sei apparso come un fantasma,8.4,jason nickey
1645,2912,excepter,ka,8.4,dominique leone
1647,10743,black kids,wizard of ahhhs,8.4,marc hogan
1651,8822,the jim yoshii pile up xiu xiu,insound tour support,8.4,matt lemay
1663,9801,pulp,the peel sessions,8.4,stephen trouss
1665,9814,various artists,a life less lived the gothic box,8.4,nitsuh abebe
1678,3974,the homosexuals,the homosexuals cd,8.4,dominique leone
1680,6689,randominc,walking in jerusalem,8.4,mark richardson
1683,1721,cyann and ben,spring,8.4,nick sylvester
1692,11763,jackie o motherfucker,wow   the magick fire music,8.4,andy beta
1709,5654,major stars,syntoptikon,8.4,zach baron
1738,13759,various artists,fire in my bones raw  rare  otherworldly african american gospel 1944 2007,8.4,stephen m. deusner
1751,2937,dominik eulberg,kreucht and fleucht,8.4,philip sherburne
1762,11817,resplendent,wings beneath the sills casket city wolves,8.4,joe tangari
1766,5274,microwaves,system 2,8.4,jason nickey
1768,15059,various artists,baby how can it be songs of love lust and contempt from the 1920s and 1930s,8.4,stephen m. deusner
1776,17003,the books,a dot in time,8.4,mark richardson
1802,4896,low,one more reason to forget,8.3,pete nicholson
1803,12378,jean grae,jeanius,8.3,nate patrin
1809,9449,mercury rev,the essential mercury rev stillness breathes 1991 2006,8.3,stuart berman
1812,3245,satoko fujii quartet,vulcan,8.3,dominique leone
1817,4319,juno,this is the way it goes and goes and goes,8.3,brent dicrescenzo
1818,2441,bob drake,13 songs and a thing,8.3,dominique leone
1821,22238,various artists,desconstruo,8.3,andy beta
